Date,Overall,Food / Beverage,Alcohol / Tobacco,Clothing / Footwear,Housing / Utilities,Furnishings,Health,Transport,Communication,Recreation / Culture,Education,Hospitality,Misc
01/01/2010,99.4,99,98.3,101.2,99.4,100,99.4,98.9,100.3,100.2,99.5,98.7,99.9
01/02/2010,99.4,99,98.3,100.1,99.6,99.9,99.4,99,100.3,100.2,99.6,98.9,99.6
01/03/2010,99.4,99,98.4,100,99.6,100,99.3,99,100.2,100.2,99.8,99.3,99.6
01/04/2010,99.4,99.1,98.4,100.5,99.6,100,99.7,99,99.7,100.1,99.9,99.5,99.5
01/05/2010,99.6,99.5,98.4,100.3,99.8,99.1,99.8,99,99.7,100,99.9,99.6,99.7
01/06/2010,99.7,100,98.5,99.5,99.8,99.9,100,99.1,99.7,100,99.9,99.8,99.9
01/07/2010,100,100.2,98.6,100.1,99.9,100.1,100.1,99.9,100.1,100.1,100.1,99.9,100
01/08/2010,100.3,100.5,98.6,99.2,100.3,100,100.2,100.8,100,99.9,100.2,100.2,99.8
01/09/2010,100.4,100.5,98.7,100.4,100.3,100.1,100.4,100.8,100.1,99.9,100.2,100.5,100.2
01/10/2010,100.6,100.6,104.6,100.2,100.3,100.1,100.5,100.8,100,99.8,100.2,100.9,100.5
01/11/2010,100.8,101.1,104.6,99.8,100.7,100.1,100.6,101,100,99.7,100.3,101.1,100.7
01/12/2010,101.2,101.4,104.6,98.8,100.8,100,100.8,102.9,100,99.7,100.4,101.6,100.8
01/01/2011,101.8,102.6,104.6,99.9,100.8,101,101.5,103.2,100,99.7,101,103.2,101.1
01/02/2011,102.3,103.7,104.6,100.1,101.1,101.1,102.1,103.5,100,100.5,101.6,104.2,101
01/03/2011,102.4,103.7,104.6,99.8,101.2,101.1,102,103.6,100,100.4,101.9,104.7,101.2
01/04/2011,102.6,104,104.6,99.8,101.2,101.2,102.2,104.2,99.9,101.9,102.1,105.1,101.3
01/05/2011,102.9,104,104.6,99.8,101.6,101.4,102.4,104.9,99.8,101.9,102.1,105.6,101.7
01/06/2011,103.2,104.7,104.7,99.8,101.7,101.6,102.5,104.8,99.7,101.9,102.2,105.9,101.9
01/07/2011,103.4,105.1,104.6,99.6,101.8,102.1,102.8,104.7,99.7,102.3,102.3,106.4,102.4
01/08/2011,103.6,105.1,104.6,99.3,102.3,102.1,103.1,104.8,99.6,102.9,102.4,106.5,103.2
01/09/2011,103.8,105.5,104.6,99.8,102.3,102.3,103.4,104.7,99.6,102.9,102.4,106.8,103.9
01/10/2011,104,106.3,104.6,99.7,102.3,102.3,103.6,104.8,99.5,103,102.5,107.1,103.5
01/11/2011,104.1,106.3,104.6,99.9,102.5,102.4,103.6,104.9,99.5,103.1,103.1,107.4,103.9
01/12/2011,104.2,106.6,104.6,99.6,102.5,102.5,103.6,104.9,99.4,103.1,103.2,107.5,103.9
01/01/2012,104.5,107.5,104.6,99.4,102.6,102.9,103.9,104.9,99.4,103.2,104.1,107.8,103.8
01/02/2012,104.5,106.7,104.6,99.8,103,103.3,104.1,104.9,99.4,103.4,104.5,108.1,104.2
01/03/2012,104.5,106.7,104.6,99.4,103,103.5,104.2,104.9,99.3,103.2,104.6,108.4,104.1
01/04/2012,104.5,106.4,104.6,99.5,103,103.6,104.4,105.2,99.2,103.2,104.8,108.6,103.9
01/05/2012,104.7,107.1,104.7,99.5,103.2,103.7,104.5,105.3,99.2,103.2,104.8,108.8,103.9
01/06/2012,104.8,107.7,104.7,99.2,103.2,103.8,104.6,105,99.1,103.2,104.7,109,104.1
01/07/2012,104.8,107.8,104.7,99.1,103.3,103.8,104.8,104.5,99.1,103.3,104.7,109.2,104.5
01/08/2012,105,108,104.8,98.7,103.8,104,104.9,104.8,99,103.2,104.7,109.2,104.4
01/09/2012,105.2,108,104.9,99.1,103.8,104.3,105.4,105.6,98.9,103.1,104.8,109.5,104.9
01/10/2012,105.4,108.4,104.9,99,103.8,104.2,105.5,105.6,98.8,103.1,104.8,109.7,105
01/11/2012,105.5,108.4,106.6,99,104,104.2,105.7,105.7,98.8,103,104.8,109.9,105.1
01/12/2012,105.5,108.7,106.6,98.6,104,104.1,105.8,105.3,98.8,103,104.9,109.9,104.9
