Date,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100,THB100,PHP100,TWD100,KRW100,IDR100,SAR100,SDR,CNY,BND,VND100,KHR100,NZD,MMK100,INR100,AED100,PKR100,NPR100,EGP
02/01/2015,3.51,5.4598,4.2324,2.9172,3.519,2.854,3.0162,2.6463,45.257,10.6726,7.8366,11.0741,0.3186,0.0281,93.5389,5.0853,0.5656,2.6463,0.0164,0.0862,2.7227,0.3428,5.5341,95.5596,3.477,3.4588,0.4909
05/01/2015,3.5398,5.4121,4.2282,2.9352,3.5179,2.8529,2.9975,2.6501,45.638,10.7119,7.8679,11.0489,0.3187,0.0279,94.299,5.1284,0.5691,2.6507,0.0165,0.0867,2.7007,0.3433,5.5801,96.3709,3.5064,3.4876,0.4951
06/01/2015,3.555,5.4248,4.2461,2.9799,3.5334,2.892,3.0279,2.664,45.8443,10.7881,7.8987,11.117,0.322,0.0281,94.7053,5.0961,0.5719,2.6639,0.0166,0.087,2.7475,0.3461,5.6099,96.7861,3.5215,3.5063,0.4979
07/01/2015,3.572,5.41,4.2421,3.0016,3.5319,2.8846,3.0193,2.6755,46.0615,10.8604,7.9325,11.1726,0.3245,0.0281,95.1582,5.1188,0.5753,2.6749,0.0166,0.0875,2.7703,0.3478,5.6212,97.2489,3.5401,3.5133,0.4996
08/01/2015,3.568,5.3855,4.2197,2.981,3.5134,2.8944,3.0175,2.6662,46.0064,10.8516,7.921,11.1542,0.3248,0.028,95.0516,5.1001,0.5737,2.6667,0.0166,0.0873,2.7816,0.3484,5.655,97.14,3.5397,3.5344,0.499
09/01/2015,3.555,5.3656,4.1961,2.974,3.4933,2.8934,3.0077,2.66,45.8446,10.8137,7.9092,11.1259,0.3253,0.0281,94.6801,5.0702,0.5727,2.6593,0.0166,0.087,2.7852,0.3472,5.6921,96.7861,3.5303,3.5575,0.4972
12/01/2015,3.5505,5.3843,4.2093,3.0011,3.5041,2.9281,2.9971,2.6658,45.7907,10.8132,7.9164,11.15,0.3277,0.0283,94.5602,5.0743,0.5727,2.6659,0.0166,0.0871,2.7893,0.3467,5.711,96.6635,3.5293,3.5695,0.4966
13/01/2015,3.5755,5.4271,4.2357,3.0305,3.527,2.9267,2.9904,2.681,46.1141,10.886,7.9775,11.2462,0.3316,0.0284,95.2641,5.1081,0.5765,2.6813,0.0168,0.0877,2.7846,0.3488,5.7625,97.3442,3.5524,3.6016,0.5001
14/01/2015,3.594,5.4456,4.2316,3.0587,3.5234,2.9083,2.9976,2.6899,46.3506,10.9573,8.0457,11.3118,0.3321,0.0285,95.757,5.1355,0.5801,2.6899,0.0168,0.0881,2.769,0.3499,5.7828,97.8478,3.5708,3.6142,0.5027
15/01/2015,3.5715,5.4412,4.2072,3.0335,3.5035,2.9245,2.985,2.6777,46.058,10.9053,7.9962,11.2508,0.33,0.0283,95.1626,5.105,0.5765,2.6773,0.0167,0.0876,2.7583,0.3478,5.7857,97.2353,3.5502,3.616,0.4995
